gene_id,gene_name,gene_biotype,count
AT1G01010,NAC001,protein_coding,2
AT1G01020,ARV1,protein_coding,0
AT1G01030,NGA3,protein_coding,1
AT1G01040,DCL1,protein_coding,21
AT1G01046,MIR838A,miRNA,14
AT1G01050,PPA1,protein_coding,5
AT1G01060,LHY,protein_coding,5
AT1G01070,null,protein_coding,5
AT1G01080,null,protein_coding,13
AT1G01090,PDH-,protein_coding,27
AT1G01100,RPP1A,protein_coding,27
AT1G01110,IQD18,protein_coding,2
AT1G01120,KCS1,protein_coding,28
AT1G01130,null,protein_coding,0
AT1G01140,CIPK9,protein_coding,13
AT1G01150,null,protein_coding,0
AT1G01160,GIF2,protein_coding,4
AT1G01170,null,protein_coding,8
AT1G01180,null,protein_coding,16
AT1G01183,MIR165A,miRNA,1565
AT1G01190,CYP78A8,protein_coding,1
AT1G01200,RABA3,protein_coding,0
AT1G01210,null,protein_coding,1
AT1G01220,FKGP,protein_coding,0
AT1G01225,null,protein_coding,1
AT1G01230,null,protein_coding,5
AT1G01240,null,protein_coding,1
AT1G01250,ERF023,protein_coding,0
AT1G01260,BHLH13,protein_coding,5
AT1G01270,null,tRNA,2199
AT1G01280,CYP703A2,protein_coding,0
AT1G01290,CNX3,protein_coding,4
AT1G01300,APF2,protein_coding,16
AT1G01305,null,protein_coding,0
AT1G01310,null,protein_coding,1
AT1G01320,null,protein_coding,41
AT1G01335,AREP1,protein_coding,0
AT1G01340,CNGC10,protein_coding,0
AT1G01350,null,protein_coding,0
AT1G01355,null,protein_coding,0
AT1G01360,PYL9,protein_coding,10
AT1G01370,HTR12,protein_coding,0
AT1G01380,ETC1,protein_coding,0
AT1G01390,null,protein_coding,0
AT1G01400,null,protein_coding,0
AT1G01410,APUM22,protein_coding,0
AT1G01420,UGT72B3,protein_coding,2
AT1G01430,TBL25,protein_coding,23
AT1G01440,null,protein_coding,3
AT1G01448,null,lncRNA,1
AT1G01450,null,protein_coding,0
AT1G01453,null,protein_coding,0
AT1G01460,PIP5K10,protein_coding,0
AT1G01470,LEA14,protein_coding,15
AT1G01480,ACS2,protein_coding,0
AT1G01490,null,protein_coding,9
AT1G01500,null,protein_coding,6
AT1G01510,AN,protein_coding,2
AT1G01520,null,protein_coding,0
AT1G01530,AGL28,protein_coding,13
AT1G01540,null,protein_coding,8
AT1G01550,BPS1,protein_coding,24
AT1G01560,MPK11,protein_coding,1
AT1G01570,null,protein_coding,1
AT1G01580,FRO2,protein_coding,0
AT1G01590,FRO1,protein_coding,0
AT1G01600,CYP86A4,protein_coding,1
AT1G01610,GPAT4,protein_coding,23
AT1G01620,PIP1-3,protein_coding,101
AT1G01630,null,protein_coding,5
AT1G01640,null,protein_coding,1
AT1G01650,SPPL4,protein_coding,1
AT1G01660,null,protein_coding,1
AT1G01670,PUB56,protein_coding,0
AT1G01680,PUB54,protein_coding,0
AT1G01690,ATPRD3,protein_coding,0
AT1G01695,null,protein_coding,0
AT1G01700,ATROPGEF2,protein_coding,0
AT1G01710,null,protein_coding,7
AT1G01715,null,protein_coding,3
AT1G01720,NAC002,protein_coding,15
AT1G01725,null,protein_coding,1
AT1G01730,null,protein_coding,3
AT1G01740,BSK4,protein_coding,2
AT1G01750,ADF11,protein_coding,0
AT1G01760,null,protein_coding,0
AT1G01770,null,protein_coding,2
AT1G01780,PLIM2B,protein_coding,1
AT1G01790,KEA1,protein_coding,5
AT1G01800,null,protein_coding,4
AT1G01810,null,protein_coding,0
AT1G01820,PEX11C,protein_coding,10
AT1G01830,null,protein_coding,3
AT1G01840,null,protein_coding,0
AT1G01860,PFC1,protein_coding,0
AT1G01870,null,tRNA,2
AT1G01880,GEN1,protein_coding,0
AT1G01890,null,tRNA,0
AT1G01900,SBTI1.1,protein_coding,1
AT1G01910,null,protein_coding,5
AT1G01920,null,protein_coding,2
AT1G01930,null,protein_coding,2
AT1G01940,CYP18-1,protein_coding,1
AT1G01950,ARK2,protein_coding,6
AT1G01960,BIG3,protein_coding,22
AT1G01970,null,protein_coding,1
AT1G01980,SEC1A,protein_coding,0
AT1G01990,null,protein_coding,1
AT1G02000,GAE2,protein_coding,3
AT1G02010,SEC1A,protein_coding,0
AT1G02020,null,protein_coding,3
AT1G02030,ZAT1,protein_coding,0
AT1G02040,null,protein_coding,0
AT1G02050,PKSA,protein_coding,2
AT1G02060,null,protein_coding,1
AT1G02065,SPL8,protein_coding,0
AT1G02067,null,protein_coding,0
AT1G02070,null,protein_coding,0
AT1G02080,null,protein_coding,33
AT1G02090,CSN7,protein_coding,4
AT1G02100,LCMT1,protein_coding,6
AT1G02110,null,protein_coding,4
AT1G02120,VAD1,protein_coding,6
AT1G02130,RABD2A,protein_coding,5
AT1G02140,MEE63,protein_coding,24
AT1G02145,ALG12,protein_coding,3
AT1G02150,null,protein_coding,11
AT1G02160,null,protein_coding,3
AT1G02170,AMC1,protein_coding,2
AT1G02180,null,protein_coding,1
AT1G02190,null,protein_coding,0
AT1G02205,CER1,protein_coding,1
AT1G02210,null,protein_coding,0
AT1G02220,NAC003,protein_coding,3
AT1G02230,NAC004,protein_coding,1
AT1G02250,NAC005,protein_coding,0
AT1G02260,null,protein_coding,1
AT1G02270,null,protein_coding,2
AT1G02280,TOC33,protein_coding,8
AT1G02290,null,protein_coding,0
AT1G02300,CATHB1,protein_coding,3
AT1G02305,CATHB2,protein_coding,14
AT1G02310,MAN1,protein_coding,1
AT1G02320,null,protein_coding,0
AT1G02330,CSU2,protein_coding,2
AT1G02335,GL22,protein_coding,0
AT1G02340,HFR1,protein_coding,1
AT1G02350,null,protein_coding,0
AT1G02360,null,protein_coding,4
AT1G02370,null,protein_coding,0
AT1G02380,null,protein_coding,1
AT1G02390,GPAT2,protein_coding,4
AT1G02400,GA2OX6,protein_coding,2
AT1G02405,null,protein_coding,0
AT1G02410,COX11,protein_coding,1
AT1G02420,null,protein_coding,0
AT1G02430,ATARFD1B,protein_coding,0
AT1G02440,ATARFD1A,protein_coding,0
AT1G02450,NIMIN-1,protein_coding,0
AT1G02460,null,protein_coding,0
AT1G02470,null,protein_coding,1
AT1G02475,null,protein_coding,13
AT1G02480,null,tRNA,0
AT1G02490,null,protein_coding,0
